periodo;residencia_provincia_nombre;Confirmado;Sospechoso;Descartado;total;rat_conf_total;rat_sosp_total;rat_desc_total
202004;Tucumán                                           ;38.0;2.0;1251.0;1291.0;0.0294345469;0.0015491867;0.9690162665
202005;Buenos Aires                                      ;6325.0;751.0;28979.0;36055.0;0.1754264318;0.0208292886;0.8037442796
202005;CABA                                              ;7973.0;62.0;15608.0;23643.0;0.3372245485;0.0026223407;0.6601531109
202005;Catamarca                                         ;14.0;1.0;166.0;181.0;0.0773480663;0.0055248619;0.9171270718
202005;Chaco                                             ;600.0;67.0;2925.0;3592.0;0.1670378619;0.0186525612;0.8143095768
202005;Chubut                                            ;10.0;1.0;217.0;228.0;0.0438596491;0.0043859649;0.951754386
202005;Córdoba                                           ;244.0;108.0;6960.0;7312.0;0.0333698031;0.0147702407;0.9518599562
202005;Corrientes                                        ;165.0;23.0;1245.0;1433.0;0.1151430565;0.0160502442;0.8688066992
202005;Entre Ríos                                        ;14.0;11.0;551.0;576.0;0.0243055556;0.0190972222;0.9565972222
202005;Formosa                                           ;2.0;1.0;492.0;495.0;0.004040404;0.002020202;0.9939393939
202005;Jujuy                                             ;39.0;40.0;838.0;917.0;0.0425299891;0.0436205016;0.9138495093
202005;La Pampa                                          ;1.0;0.0;101.0;102.0;0.0098039216;0.0;0.9901960784
202005;La Rioja                                          ;143.0;10.0;557.0;710.0;0.2014084507;0.014084507;0.7845070423
202005;Mendoza                                           ;49.0;20.0;689.0;758.0;0.0646437995;0.0263852243;0.9089709763
202005;Misiones                                          ;12.0;3.0;615.0;630.0;0.019047619;0.0047619048;0.9761904762
202005;Neuquén                                           ;35.0;1.0;576.0;612.0;0.0571895425;0.0016339869;0.9411764706
202005;Río Negro                                         ;217.0;0.0;879.0;1096.0;0.1979927007;0.0;0.8020072993
202005;Salta                                             ;12.0;7.0;341.0;360.0;0.0333333333;0.0194444444;0.9472222222
202005;San Juan                                          ;9.0;1.0;272.0;282.0;0.0319148936;0.0035460993;0.9645390071
202005;San Luis                                          ;1.0;1.0;124.0;126.0;0.0079365079;0.0079365079;0.9841269841
202005;Santa Cruz                                        ;5.0;4.0;146.0;155.0;0.0322580645;0.0258064516;0.9419354839
202005;Santa Fe                                          ;65.0;1.0;4219.0;4285.0;0.0151691949;0.0002333722;0.9845974329
202005;Santiago del Estero                               ;19.0;37.0;1131.0;1187.0;0.0160067397;0.0311710194;0.9528222409
202005;Tierra del Fuego                                  ;25.0;0.0;452.0;477.0;0.0524109015;0.0;0.9475890985
202005;Tucumán                                           ;53.0;18.0;3024.0;3095.0;0.0171243942;0.005815832;0.9770597738
202006;Buenos Aires                                      ;32217.0;4086.0;60521.0;96824.0;0.332737751;0.0422002809;0.6250619681
202006;CABA                                              ;20629.0;220.0;29813.0;50662.0;0.40718882;0.0043425052;0.5884686747
202006;Catamarca                                         ;30.0;4.0;291.0;325.0;0.0923076923;0.0123076923;0.8953846154
202006;Chaco                                             ;1242.0;286.0;4846.0;6374.0;0.1948540948;0.0448697835;0.7602761217
202006;Chubut                                            ;145.0;24.0;977.0;1146.0;0.1265270506;0.0209424084;0.852530541
202006;Córdoba                                           ;257.0;188.0;6824.0;7269.0;0.0353556198;0.0258632549;0.9387811253
202006;Corrientes                                        ;62.0;46.0;930.0;1038.0;0.0597302505;0.0443159923;0.8959537572
202006;Entre Ríos                                        ;270.0;52.0;1191.0;1513.0;0.1784534038;0.0343688037;0.7871777925
202006;Formosa                                           ;74.0;2.0;109.0;185.0;0.4;0.0108108108;0.5891891892
202006;Jujuy                                             ;178.0;157.0;880.0;1215.0;0.1465020576;0.129218107;0.7242798354
202006;La Pampa                                          ;7.0;3.0;206.0;216.0;0.0324074074;0.0138888889;0.9537037037
202006;La Rioja                                          ;162.0;3.0;589.0;754.0;0.2148541114;0.0039787798;0.7811671088
202006;Mendoza                                           ;145.0;49.0;1198.0;1392.0;0.1041666667;0.0352011494;0.8606321839
202006;Misiones                                          ;13.0;2.0;518.0;533.0;0.0243902439;0.0037523452;0.9718574109
202006;Neuquén                                           ;371.0;2.0;837.0;1210.0;0.3066115702;0.0016528926;0.6917355372
202006;Río Negro                                         ;628.0;4.0;1525.0;2157.0;0.2911451089;0.0018544274;0.7070004636
202006;Salta                                             ;35.0;9.0;474.0;518.0;0.0675675676;0.0173745174;0.9150579151
202006;San Juan                                          ;8.0;1.0;266.0;275.0;0.0290909091;0.0036363636;0.9672727273
202006;San Luis                                          ;4.0;9.0;223.0;236.0;0.0169491525;0.0381355932;0.9449152542
202006;Santa Cruz                                        ;11.0;3.0;170.0;184.0;0.0597826087;0.0163043478;0.9239130435
202006;Santa Fe                                          ;225.0;48.0;4319.0;4592.0;0.0489982578;0.0104529617;0.9405487805
202006;Santiago del Estero                               ;21.0;46.0;1427.0;1494.0;0.0140562249;0.030789826;0.9551539491
202006;Tierra del Fuego                                  ;4.0;1.0;196.0;201.0;0.0199004975;0.0049751244;0.9751243781
202006;Tucumán                                           ;100.0;105.0;3177.0;3382.0;0.0295683028;0.0310467179;0.9393849793
202007;Buenos Aires                                      ;93696.0;12023.0;98417.0;204136.0;0.4589881256;0.0588970098;0.4821148646
202007;CABA                                              ;33527.0;681.0;41587.0;75795.0;0.4423378851;0.0089847615;0.5486773534
202007;Catamarca                                         ;277.0;3.0;1086.0;1366.0;0.2027818448;0.0021961933;0.7950219619
202007;Chaco                                             ;1574.0;153.0;8906.0;10633.0;0.1480297188;0.0143891658;0.8375811154
202007;Chubut                                            ;194.0;66.0;1496.0;1756.0;0.1104783599;0.0375854214;0.8519362187
202007;Córdoba                                           ;1762.0;298.0;9547.0;11607.0;0.1518049453;0.0256741621;0.8225208926
202007;Corrientes                                        ;101.0;34.0;651.0;786.0;0.1284987277;0.0432569975;0.8282442748
202007;Entre Ríos                                        ;561.0;84.0;1757.0;2402.0;0.2335553705;0.0349708576;0.7314737719
202007;Formosa                                           ;3.0;4.0;58.0;65.0;0.0461538462;0.0615384615;0.8923076923
202007;Jujuy                                             ;3402.0;1058.0;5644.0;10104.0;0.3366983373;0.1047110055;0.5585906572
202007;La Pampa                                          ;151.0;7.0;428.0;586.0;0.2576791809;0.0119453925;0.7303754266
202007;La Rioja                                          ;479.0;11.0;1355.0;1845.0;0.2596205962;0.0059620596;0.7344173442
202007;Mendoza                                           ;1461.0;85.0;2747.0;4293.0;0.3403214535;0.0197996739;0.6398788726
202007;Misiones                                          ;6.0;9.0;649.0;664.0;0.0090361446;0.0135542169;0.9774096386
202007;Neuquén                                           ;739.0;25.0;1357.0;2121.0;0.3484205563;0.011786893;0.6397925507
202007;Río Negro                                         ;1268.0;14.0;1969.0;3251.0;0.3900338357;0.0043063673;0.605659797
202007;Salta                                             ;316.0;73.0;603.0;992.0;0.3185483871;0.0735887097;0.6078629032
202007;San Juan                                          ;16.0;1.0;173.0;190.0;0.0842105263;0.0052631579;0.9105263158
202007;San Luis                                          ;26.0;19.0;257.0;302.0;0.0860927152;0.0629139073;0.8509933775
202007;Santa Cruz                                        ;426.0;7.0;283.0;716.0;0.594972067;0.0097765363;0.3952513966
202007;Santa Fe                                          ;922.0;131.0;6671.0;7724.0;0.119368203;0.0169601243;0.8636716727
202007;Santiago del Estero                               ;45.0;51.0;2298.0;2394.0;0.0187969925;0.0213032581;0.9598997494
202007;Tierra del Fuego                                  ;515.0;0.0;877.0;1392.0;0.3699712644;0.0;0.6300287356
202007;Tucumán                                           ;258.0;417.0;3589.0;4264.0;0.0605065666;0.0977954972;0.8416979362
202008;Buenos Aires                                      ;150851.0;17395.0;149358.0;317604.0;0.4749656805;0.0547694613;0.4702648581
202008;CABA                                              ;37002.0;1554.0;62468.0;101024.0;0.3662694013;0.0153824834;0.6183481153
